,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
3694,New Zealand,2020-06-20 04:33:19,-40.9006,174.886,1509,22.0,1482.0,5.0,New Zealand,31.29255678852515,1.4579191517561298,2020-06-19
448,New Zealand,2021-06-20 04:21:48,-40.9006,174.886,2718,26.0,2670.0,22.0,New Zealand,56.36392932485842,0.9565857247976454,2021-06-19
467,New Zealand,2022-06-20 04:21:01,-40.9006,174.886,1277568,1337.0,,,New Zealand,26493.286409014247,0.104651963731089,2022-06-19
3698,New Zealand,2020-06-21 04:33:19,-40.9006,174.886,1511,22.0,1482.0,7.0,New Zealand,31.33403135020643,1.455989410986102,2020-06-20
448,New Zealand,2021-06-21 04:21:41,-40.9006,174.886,2720,26.0,2671.0,23.0,New Zealand,56.4054038865397,0.9558823529411764,2021-06-20
467,New Zealand,2022-06-21 04:20:56,-40.9006,174.886,1283444,1350.0,,,New Zealand,26615.138671233846,0.1051857346327537,2022-06-20
3698,New Zealand,2020-06-22 04:33:20,-40.9006,174.886,1513,22.0,1482.0,9.0,New Zealand,31.375505911887707,1.4540647719762063,2020-06-21
448,New Zealand,2021-06-22 04:21:34,-40.9006,174.886,2720,26.0,2671.0,23.0,New Zealand,56.4054038865397,0.9558823529411764,2021-06-21
467,New Zealand,2022-06-22 04:20:54,-40.9006,174.886,1289128,1368.0,,,New Zealand,26733.00937553204,0.1061182442705456,2022-06-21
3701,New Zealand,2020-06-23 04:33:22,-40.9006,174.886,1515,22.0,1483.0,10.0,New Zealand,31.416980473568987,1.4521452145214522,2020-06-22
448,New Zealand,2021-06-23 04:21:46,-40.9006,174.886,2723,26.0,2673.0,24.0,New Zealand,56.46761572906162,0.954829232464194,2021-06-22
467,New Zealand,2022-06-23 04:20:55,-40.9006,174.886,1294657,1380.0,,,New Zealand,26847.665801299936,0.1065919390232316,2022-06-22
3706,New Zealand,2020-06-24 04:33:28,-40.9006,174.886,1516,22.0,1483.0,11.0,New Zealand,31.437717754409626,1.4511873350923483,2020-06-23
448,New Zealand,2021-06-24 04:21:55,-40.9006,174.886,2723,26.0,2673.0,24.0,New Zealand,56.46761572906162,0.954829232464194,2021-06-23
