,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
36,New York,US,2021-09-12 04:32:09,42.1657,-74.9481,2331615,54636,,,36.0,11985.543417989127,66757104.0,,2.343268507021957,84000036.0,USA,343161.3574501861,,2021-09-11,,
36,New York,US,2020-09-13 04:32:00,42.1657,-74.9481,446028,32858,75707.0,337463.0,36.0,2292.7833109835265,,,,84000036.0,USA,47526.64563572705,,2020-09-12,9245625.0,7.366802084174088
36,New York,US,2021-09-13 04:31:17,42.1657,-74.9481,2335720,54656,,,36.0,12006.644953075684,66960478.0,,2.3400065076293397,84000036.0,USA,344206.79072587274,,2021-09-12,,
36,New York,US,2020-09-14 04:30:37,42.1657,-74.9481,446862,32858,75767.0,338237.0,36.0,2297.070443812318,,,,84000036.0,USA,47900.19164100599,,2020-09-13,9318293.0,7.353053067837498
36,New York,US,2021-09-14 04:31:27,42.1657,-74.9481,2340950,54693,,,36.0,12033.52949107878,67139503.0,,2.3363591704222646,84000036.0,USA,345127.05925665743,,2021-09-13,,
36,New York,US,2020-09-15 03:30:30,42.1657,-74.9481,447524,32865,75814.0,338845.0,36.0,2300.473419750759,,,,84000036.0,USA,48225.8800843712,,2020-09-14,9381651.0,7.343740223987988
36,New York,US,2021-09-15 03:31:56,42.1657,-74.9481,2345068,54733,,,36.0,12054.697851976818,67248641.0,,2.33396217081978,84000036.0,USA,345688.07736537285,,2021-09-14,,
36,New York,US,2020-09-16 04:30:32,42.1657,-74.9481,448213,32873,75847.0,339493.0,36.0,2304.015187759197,,,,84000036.0,USA,48604.61794115741,,2020-09-15,9455329.0,7.334236177888638
36,New York,US,2021-09-16 04:31:56,42.1657,-74.9481,2349898,54767,,,36.0,12079.526211165145,67366394.0,,2.330611796767349,84000036.0,USA,346293.3804253113,,2021-09-15,,
36,New York,US,2020-09-17 04:30:32,42.1657,-74.9481,448897,32877,75903.0,340117.0,36.0,2307.531253532451,,,,84000036.0,USA,48990.59868781865,,2020-09-16,9530416.0,7.323951819682466
36,New York,US,2021-09-17 04:31:58,42.1657,-74.9481,2356680,54809,,,36.0,12114.388722969536,67522395.0,,2.325686983383404,84000036.0,USA,347095.29530351795,,2021-09-16,,
36,New York,US,2020-09-18 05:10:31,42.1657,-74.9481,449922,32904,75962.0,341056.0,36.0,2312.8002117452943,,,,84000036.0,USA,49460.97015348501,,2020-09-17,9621920.0,7.313267633056396
36,New York,US,2021-09-18 04:31:00,42.1657,-74.9481,2362682,54846,,,36.0,12145.241686085134,67720448.0,,2.32134497998461,84000036.0,USA,348113.37626052106,,2021-09-17,,
36,New York,US,2020-09-19 04:30:26,42.1657,-74.9481,450753,32919,76036.0,341798.0,36.0,2317.071923232975,,,,84000036.0,USA,49922.207044766765,,2020-09-18,9711647.0,7.30311279126262
36,New York,US,2021-09-19 04:31:17,42.1657,-74.9481,2366441,54865,,,36.0,12164.564626496918,67933450.0,,2.318460506727191,84000036.0,USA,349208.3017602793,,2021-09-18,,
