,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio,Date
594,South Africa,2021-03-03 05:23:28,-30.5595,22.9375,1514815,50271.0,1433320.0,31224.0,South Africa,2554.1198094242177,3.318623066182999,2021-03-02
615,South Africa,2022-03-03 04:21:01,-30.5595,22.9375,3677686,99458.0,,,South Africa,6200.922664115496,2.704363559042289,2022-03-02
594,South Africa,2021-03-04 05:24:24,-30.5595,22.9375,1516262,50366.0,1434772.0,31124.0,South Africa,2556.5595867991688,3.321721443919323,2021-03-03
615,South Africa,2022-03-04 04:21:09,-30.5595,22.9375,3679539,99499.0,,,South Africa,6204.046995474018,2.704115923217555,2022-03-03
594,South Africa,2021-03-05 05:26:29,-30.5595,22.9375,1517666,50462.0,1436010.0,31194.0,South Africa,2558.926862151229,3.324974006138373,2021-03-04
615,South Africa,2022-03-05 04:21:10,-30.5595,22.9375,3681437,99517.0,,,South Africa,6207.247201042545,2.7032107299405097,2022-03-04
594,South Africa,2021-03-06 04:23:41,-30.5595,22.9375,1518979,50566.0,1437050.0,31363.0,South Africa,2561.1407029897305,3.3289466147984927,2021-03-05
615,South Africa,2022-03-06 04:20:49,-30.5595,22.9375,3683172,99543.0,,,South Africa,6210.1725733615085,2.7026432650986703,2022-03-05
594,South Africa,2021-03-07 05:21:54,-30.5595,22.9375,1520206,50647.0,1439515.0,30044.0,South Africa,2563.20953978245,3.3315879558428265,2021-03-06
615,South Africa,2022-03-07 04:20:47,-30.5595,22.9375,3684319,99543.0,,,South Africa,6212.106522669781,2.7018018798046533,2022-03-06
594,South Africa,2021-03-08 05:24:48,-30.5595,22.9375,1521068,50678.0,1440874.0,29516.0,South Africa,2564.662952427376,3.3317379630627952,2021-03-07
615,South Africa,2022-03-08 04:20:54,-30.5595,22.9375,3685120,99609.0,,,South Africa,6213.457083607817,2.7030056009030914,2022-03-07
594,South Africa,2021-03-09 05:28:19,-30.5595,22.9375,1521706,50803.0,1442045.0,28858.0,South Africa,2565.738680115848,3.338555542266377,2021-03-08
615,South Africa,2022-03-09 04:20:59,-30.5595,22.9375,3686556,99625.0,,,South Africa,6215.878313953655,2.702386726256159,2022-03-08
594,South Africa,2021-03-10 05:24:35,-30.5595,22.9375,1522697,50906.0,1444282.0,27509.0,South Africa,2567.4095988294466,3.343147060774402,2021-03-09
615,South Africa,2022-03-10 04:20:48,-30.5595,22.9375,3688423,99656.0,,,South Africa,6219.026250621958,2.701859304098256,2022-03-09
594,South Africa,2021-03-11 05:25:48,-30.5595,22.9375,1524174,51015.0,1445979.0,27180.0,South Africa,2569.8999590110657,3.3470588003731856,2021-03-10
615,South Africa,2022-03-11 04:20:50,-30.5595,22.9375,3690291,99681.0,,,South Africa,6222.175873383816,2.701169094794963,2022-03-10
594,South Africa,2021-03-12 05:26:50,-30.5595,22.9375,1525648,51110.0,1447503.0,27035.0,South Africa,2572.385260912018,3.350051912367728,2021-03-11
615,South Africa,2022-03-12 04:20:50,-30.5595,22.9375,3691962,99709.0,,,South Africa,6224.993335715221,2.7007049368330445,2022-03-11
594,South Africa,2021-03-13 05:25:15,-30.5595,22.9375,1526873,51179.0,1449654.0,26040.0,South Africa,2574.4507255176263,3.3518832280091404,2021-03-12
615,South Africa,2022-03-13 04:20:49,-30.5595,22.9375,3693532,99712.0,,,South Africa,6227.640502597512,2.699638178307376,2022-03-12
594,South Africa,2021-03-14 05:25:37,-30.5595,22.9375,1528414,51261.0,1452988.0,24165.0,South Africa,2577.048995686804,3.3538687816259207,2021-03-13
615,South Africa,2022-03-14 04:20:46,-30.5595,22.9375,3694504,99725.0,,,South Africa,6229.279385533553,2.6992797950685667,2022-03-13
594,South Africa,2021-03-15 05:25:51,-30.5595,22.9375,1529420,51326.0,1454290.0,23804.0,South Africa,2578.745205803737,3.355912698931621,2021-03-14
615,South Africa,2022-03-15 04:20:47,-30.5595,22.9375,3695175,99725.0,,,South Africa,6230.410754309361,2.6987896378385328,2022-03-14
594,South Africa,2021-03-16 05:25:13,-30.5595,22.9375,1530033,51421.0,1455325.0,23287.0,South Africa,2579.7787811533185,3.360777185851547,2021-03-15
615,South Africa,2022-03-16 04:20:50,-30.5595,22.9375,3696823,99727.0,,,South Africa,6233.189436488987,2.6976406498228345,2022-03-15
594,South Africa,2021-03-17 05:25:07,-30.5595,22.9375,1530966,51560.0,1458001.0,21405.0,South Africa,2581.351906440692,3.367808298812645,2021-03-16
615,South Africa,2022-03-17 04:20:56,-30.5595,22.9375,3698803,99767.0,,,South Africa,6236.527901729072,2.697278011291761,2022-03-16
594,South Africa,2021-03-18 05:26:22,-30.5595,22.9375,1532497,51634.0,1459056.0,21807.0,South Africa,2583.9333156743137,3.3692725010228406,2021-03-17
615,South Africa,2022-03-18 04:20:55,-30.5595,22.9375,3700484,99829.0,,,South Africa,6239.362224996034,2.6977281890693217,2022-03-17
594,South Africa,2021-03-19 05:26:09,-30.5595,22.9375,1533961,51724.0,1459894.0,22343.0,South Africa,2586.40175663971,3.371924058043197,2021-03-18
615,South Africa,2022-03-19 04:20:47,-30.5595,22.9375,3702042,99868.0,,,South Africa,6239.362224996034,2.6977281890693217,2022-03-18
594,South Africa,2021-03-20 05:25:46,-30.5595,22.9375,1535423,52035.0,1461196.0,22192.0,South Africa,2588.866825417995,3.388968382002875,2021-03-19
615,South Africa,2022-03-20 04:20:45,-30.5595,22.9375,3703329,99879.0,,,South Africa,6244.159161161711,2.69700585608246,2022-03-19
594,South Africa,2021-03-21 05:25:44,-30.5595,22.9375,1536801,52082.0,1462110.0,22609.0,South Africa,2591.1902623376104,3.388987904094284,2021-03-20
615,South Africa,2022-03-21 04:20:50,-30.5595,22.9375,3704218,99881.0,,,South Africa,6245.658098332639,2.696412576149676,2022-03-20
594,South Africa,2021-03-22 05:25:43,-30.5595,22.9375,1537852,52111.0,1463089.0,22652.0,South Africa,2592.9623466645444,3.388557546499923,2021-03-21
615,South Africa,2022-03-22 04:20:54,-30.5595,22.9375,3704784,99890.0,,,South Africa,6246.612427285108,2.696243559678513,2022-03-21
3279,South Africa,3/22/20 23:45,-30.5595,22.9375,274,0.0,2.0,272.0,South Africa,,,2020-03-22
594,South Africa,2021-03-23 05:26:18,-30.5595,22.9375,1538451,52196.0,1463953.0,22302.0,South Africa,2593.972316704348,3.392763240428197,2021-03-22
615,South Africa,2022-03-23 04:20:48,-30.5595,22.9375,3705696,99893.0,,,South Africa,6248.150144607814,2.6956609500617428,2022-03-22
3389,South Africa,2020-03-23 23:19:21,-30.5595,22.9375,402,0.0,4.0,398.0,South Africa,,,2020-03-23
594,South Africa,2021-03-24 05:25:40,-30.5595,22.9375,1538961,52251.0,1465204.0,21506.0,South Africa,2594.8322244177034,3.395212744182601,2021-03-23
615,South Africa,2022-03-24 04:20:43,-30.5595,22.9375,3707089,99899.0,,,South Africa,6248.150144607814,2.6956609500617428,2022-03-23
3392,South Africa,2020-03-24 23:37:15,-30.5595,22.9375,554,0.0,4.0,550.0,South Africa,,,2020-03-24
594,South Africa,2021-03-25 05:27:00,-30.5595,22.9375,1540009,52372.0,1466595.0,21042.0,South Africa,2596.5992504639707,3.400759346211613,2021-03-24
615,South Africa,2022-03-25 04:20:46,-30.5595,22.9375,3709209,99932.0,,,South Africa,6254.073391268632,2.6941593207608414,2022-03-24
3396,South Africa,2020-03-25 23:33:04,-30.5595,22.9375,709,0.0,12.0,697.0,South Africa,,,2020-03-25
594,South Africa,2021-03-26 05:26:55,-30.5595,22.9375,1541563,52535.0,1467254.0,21774.0,South Africa,2599.219439849371,3.4079048342493947,2021-03-25
615,South Africa,2022-03-26 04:20:23,-30.5595,22.9375,3710766,99939.0,,,South Africa,6256.6986389346985,2.693217518970477,2022-03-25
3396,South Africa,2020-03-26 23:48:18,-30.5595,22.9375,927,0.0,12.0,915.0,South Africa,,,2020-03-26
594,South Africa,2021-03-27 05:25:04,-30.5595,22.9375,1543079,52602.0,1469565.0,20912.0,South Africa,2601.775557679659,3.408898701881109,2021-03-26
615,South Africa,2022-03-27 04:20:47,-30.5595,22.9375,3712263,99965.0,,,South Africa,6259.222720987429,2.6928318386924635,2022-03-26
3404,South Africa,2020-03-27 23:23:03,-30.5595,22.9375,1170,1.0,31.0,1138.0,South Africa,,,2020-03-27
594,South Africa,2021-03-28 05:28:10,-30.5595,22.9375,1544466,52648.0,1471164.0,20654.0,South Africa,2604.114169441274,3.40881573307538,2021-03-27
